FID,Field1,Aquifer,Station,Latitude,Longitude,Date,Cl,HCO3,SO4,NaK,Ca,Mg,TDS,Source
34,159,Edwards-Trinity Plateau,4333.000000000000000,30.873059999999999,-102.898099999999999,2007-12-20T00:00:00.000000000,11.169717654359292,4.393442622950820,10.867302327518008,12.099784429574457,9.032386845650979,5.842419255297264,1723.000000000000000,MPGCD
35,160,Edwards-Trinity Plateau,4855.000000000000000,30.892499999999998,-102.967799999999997,2014-10-06T00:00:00.000000000,9.054240825882154,4.147540983606557,7.765332889203481,10.968365804683248,6.537252357902091,3.785229376671467,1382.000000000000000,MPGCD
36,161,Edwards-Trinity Plateau,4134.000000000000000,30.878060000000001,-102.871899999999997,2011-01-21T00:00:00.000000000,15.767353961582939,5.393442622950820,25.232127243202733,19.609774389863038,16.966914516692448,11.026537749434272,3044.000000000000000,MPGCD
37,163,Edwards-Trinity Plateau,5285.000000000000000,30.860883000000001,-102.869665999999995,2017-07-24T00:00:00.000000000,10.690209573237807,5.885245901639344,16.238497730774036,13.830126533486785,13.224212785069115,6.583007611602551,2187.000000000000000,MPGCD
38,164,Edwards-Trinity Plateau,5284.000000000000000,30.860579000000001,-102.869428999999997,2017-07-24T00:00:00.000000000,5.979747835162045,6.672131147540983,0.499646084023816,6.905737433966226,5.289685114027646,1.810327093190702,949.000000000000000,MPGCD
39,165,Edwards-Trinity Plateau,5261.000000000000000,30.873919999999998,-102.882515999999995,2018-07-11T00:00:00.000000000,6.600287704848673,3.409836065573770,8.847899404588416,7.313013324265493,7.734916912021557,4.443530137831722,1252.000000000000000,MPGCD
40,166,Edwards-Trinity Plateau,5288.000000000000000,30.857877999999999,-102.892792999999998,2017-08-31T00:00:00.000000000,11.085098581220207,4.688524590163935,14.739559478702587,12.872772312424992,12.176256300214581,7.159020777617775,2025.000000000000000,MPGCD
41,167,Edwards-Trinity Plateau,3990.000000000000000,30.867780000000000,-102.891400000000004,2020-07-20T00:00:00.000000000,13.454432629114601,5.000000000000000,8.140067452221343,11.787534312141755,8.283846499326312,4.278954947541658,1667.000000000000000,MPGCD
42,168,Edwards-Trinity Plateau,4114.000000000000000,30.901192999999999,-102.857692999999998,2018-10-29T00:00:00.000000000,17.318703635799508,6.819672131147541,28.021817879002374,22.039038632743651,20.410200109785915,11.437975725159433,3449.000000000000000,MPGCD
43,178,Edwards-Trinity Plateau,5800.000000000000000,30.800000000000001,-102.968900000000005,2012-05-09T00:00:00.000000000,17.346909993512536,1.655737704918033,14.926926760211517,19.973178018984317,7.734916912021557,6.006994445587328,2134.000000000000000,MPGCD
44,183,Edwards-Trinity Plateau,5798.000000000000000,30.734719999999999,-103.068600000000004,2012-05-21T00:00:00.000000000,11.846670239471976,4.491803278688525,8.306616146895950,11.923055502094423,7.036279255451868,4.032092162106562,1564.000000000000000,MPGCD
45,207,Edwards-Trinity Plateau,3969.000000000000000,30.894545000000001,-103.060558000000000,2018-05-31T00:00:00.000000000,18.954672383155163,4.918032786885246,17.466794353999251,18.660413739753103,15.569639203553070,9.216210656243572,2671.000000000000000,MPGCD
46,216,Edwards-Trinity Plateau,4301.000000000000000,30.870259999999998,-102.893100000000004,2013-04-03T00:00:00.000000000,11.479987589202604,4.934426229508197,11.304492651038847,11.237099821158596,9.681121812465690,5.513268874717136,1778.000000000000000,MPGCD
